lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.389941
# Diagonal elements of inverse mass matrix:
# 0.0136714, 0.0138405, 0.0142458, 0.0120083, 0.0442404, 0.0396619, 0.0367165, 0.0458599, 0.0397475, 0.0388358, 0.0566981, 0.0244125, 0.0342435, 0.0332419, 0.0583725, 0.0338551, 0.0538114, 0.0472021, 0.0317692, 0.0434542, 0.0600762, 0.0498804, 0.013865, 0.0195583, 0.0470349, 0.0315084, 0.0356537, 0.0433257, 0.0676773, 0.0300149, 0.0326694, 0.0669048, 0.0455779, 0.0444288, 0.047319, 0.0251392
1478.95,1,0.389941,3,7,0,-1465.56,1.87476,1.7018,1.88961,2.49994,-0.512414,0.0276787,0.0664454,0.00805282,0.309191,0.150474,-0.722466,0.61418,0.241688,0.220223,-0.898352,-0.275514,-0.300391,-0.458194,0.508819,-0.451511,-0.769363,-0.482586,1.60455,1.10859,-0.429328,-0.241014,0.384094,0.0644281,-1.19911,0.500509,0.346487,-0.963997,-0.0766457,-0.180133,-0.42619,0.693785
1478.15,0.884516,0.389941,3,7,0,-1462.3,1.70351,1.82796,1.76091,2.40702,-0.34233,0.211138,0.170408,-0.169039,0.235639,0.0967072,-0.0829437,0.665847,0.0475057,0.42791,-0.688927,-0.202822,-0.190188,-0.599434,0.238888,-0.386163,-0.617459,-0.312688,1.63176,0.884234,-0.375364,0.351493,0.0936797,-0.344837,-1.60816,0.576479,0.366085,-0.537985,0.201035,-0.178078,-0.339622,0.599395
1485.39,1,0.389941,3,7,0,-1469.51,1.85631,1.77057,1.88124,2.5091,-0.468848,-0.000511198,0.135105,-0.0501217,0.220856,0.097336,-0.39446,0.479314,0.214862,0.256754,-0.561732,-0.0977561,-0.095757,-0.420866,0.471979,-0.0239237,-0.936735,-0.0380661,1.5488,0.969493,-0.392268,0.431775,0.0833437,-0.209945,-1.20221,0.480172,0.222513,-0.919333,-0.0207372,-0.12653,-0.0747759,0.530114
1483.7,0.864603,0.389941,4,15,0,-1472.89,1.86058,1.81787,1.92015,2.54503,-0.0478141,-0.0474736,-0.0544422,-0.141103,0.0454072,0.0343427,-0.52315,0.665244,0.0388868,0.117047,-0.755768,0.0871096,-0.552788,-0.170831,0.35459,-0.318603,-0.139843,-0.592218,1.54166,0.985255,-0.472486,0.0421383,0.125408,0.0683982,-0.686181,0.493754,0.379445,-0.337882,-0.437249,-0.0662971,-0.231451,0.529486
1480.09,0.559357,0.389941,3,7,0,-1460.85,1.90655,1.87583,1.91136,2.49881,-0.537642,0.133545,0.0880734,-0.0545724,-0.0267634,0.125233,-0.990964,0.320137,0.187656,0.235466,-0.550537,-0.0933822,-0.24796,-0.901708,0.48524,-0.180406,-0.794901,-0.0510868,1.51584,0.923298,-0.160099,0.0426437,-0.0687636,-0.337487,-1.09901,0.544857,0.066041,-0.66958,-0.204339,-0.20971,-0.0575336,0.490837
1478.83,0.707241,0.389941,3,15,0,-1460.1,1.79944,1.75962,1.83015,2.56577,-0.31959,-0.0811481,-0.262095,-0.218551,0.101083,0.111666,-0.703775,0.879026,0.117709,0.17541,-1.02682,-0.00350113,-0.265917,0.159357,0.334501,-0.0350654,-0.549362,-0.270781,1.64464,0.942697,-0.231422,0.214051,-0.123174,0.0323647,-0.915962,0.260121,0.461725,-0.720507,-0.173492,0.0286702,-0.313706,0.591971
1464.16,0.860843,0.389941,3,7,0,-1449.98,1.91885,1.83762,1.89039,2.44041,-0.30173,0.298997,0.244839,-0.571627,0.225619,-0.352568,0.00360334,0.288082,-0.164211,0.251165,-0.186435,-0.000453877,-0.560345,-0.40392,0.350269,-0.457207,-0.653989,-0.454777,1.47391,0.952937,-0.357369,0.303876,0.151817,-0.329975,-1.00694,0.246301,0.0640214,-0.427773,-0.00135897,-0.781013,-0.2047,0.463326
1463.11,0.905705,0.389941,3,15,0,-1447.81,1.8337,1.84535,1.85475,2.37961,-0.265333,-0.389818,-0.30272,0.152519,-0.10986,0.451467,-1.10007,0.668057,0.227473,0.133679,-1.30307,0.00446182,-0.223446,-0.358808,0.357307,-0.066936,-0.5176,-0.302955,1.58827,0.856198,-0.324625,-0.00826339,-0.198722,-0.000123969,-1.45961,0.556551,0.391683,-1.0896,-0.590792,0.378754,-0.48321,0.65111
1474.58,1,0.389941,3,7,0,-1451.02,1.8968,1.75325,1.88732,2.48538,-0.401198,0.1152,0.297799,-0.428475,0.176911,-0.348835,-0.242781,0.438459,0.0202721,0.248393,-0.7444,-0.318546,-0.648731,-0.323804,0.390691,-0.37992,-0.816594,-0.377679,1.51043,1.01731,-0.283944,0.221036,0.178924,-0.263192,-1.03778,0.360049,0.119769,-0.557448,-0.202852,-0.787109,-0.145985,0.740481
1483.5,0.908215,0.389941,3,15,0,-1456.35,1.83353,1.87846,1.90637,2.49982,-0.0970207,0.0725787,-0.0259054,0.023419,0.148025,0.05677,-0.698109,0.498043,0.216055,0.128001,-0.623292,0.0428758,-0.0942227,-0.188746,0.182009,-0.0133563,-0.644015,-0.33905,1.5905,0.861313,-0.458239,-0.221148,-0.136183,-0.000477258,-0.840977,0.58136,0.108808,-0.669797,-0.458044,-0.013475,-0.174392,0.482595
