lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.355207
# Diagonal elements of inverse mass matrix:
# 0.0142942, 0.0144363, 0.0146389, 0.011347, 0.0485841, 0.0333088, 0.0380966, 0.0401972, 0.0290518, 0.0329391, 0.0590378, 0.027296, 0.0332223, 0.0424525, 0.0694587, 0.0381089, 0.0507955, 0.0525861, 0.0266367, 0.0437851, 0.0552313, 0.0516349, 0.0160384, 0.0199687, 0.0472394, 0.0305978, 0.0342427, 0.0417027, 0.0746887, 0.0294799, 0.0318594, 0.0666352, 0.0443136, 0.0401794, 0.0384171, 0.022383
1477.12,0.877723,0.355207,3,15,0,-1461.79,1.72495,1.79117,1.65873,2.43873,-0.0584193,0.38453,0.253852,0.135375,0.00454414,0.194526,-0.626936,0.497146,0.259788,-0.0699457,-0.980369,0.146018,-0.445876,-0.153208,0.643978,-0.238178,-0.372013,-0.193334,1.65639,0.986616,-0.257206,0.273627,-0.061148,-0.378255,-0.619279,0.71286,0.595785,-0.576532,-0.0576609,-0.0206127,-0.26146,0.458008
1473.73,0.921269,0.355207,3,7,0,-1455.51,1.86472,1.7639,1.76942,2.35331,-0.0494724,0.190088,0.30607,0.0474773,0.47943,0.167098,-0.164831,0.411532,0.19933,0.090977,-0.845681,0.0629878,-0.345765,-0.437634,0.36266,-0.175744,-0.552077,0.0501446,1.55395,0.928634,-0.168686,0.296802,0.39353,-0.557868,-0.193312,0.587741,0.417901,-0.627169,-0.179073,0.0356647,-0.107447,0.485628
1475.15,0.978299,0.355207,3,7,0,-1458.8,1.83181,1.7659,1.70949,2.35508,-0.0512469,0.294547,0.226713,0.0693158,0.510625,0.167285,-0.362167,0.367487,0.163364,0.354487,-0.852645,-0.18123,-0.392248,-0.383847,0.231447,-0.198223,-0.696756,0.00642637,1.65934,0.96839,0.0131704,0.362753,0.211056,-0.449816,-0.309651,0.388385,0.174008,-0.596292,-0.144656,-0.0587537,-0.319594,0.48429
1479.16,0.998012,0.355207,4,15,0,-1460.27,1.63778,1.62797,1.80898,2.4169,-0.168245,0.0180409,0.195967,-0.20583,0.209673,0.10566,-0.475805,0.958407,0.268149,0.0863006,-0.641259,0.391772,-0.225533,-0.277957,0.458442,-0.454889,-0.224961,-0.653057,1.71527,1.13165,-0.179673,0.337076,0.104167,0.12944,-0.896163,0.564689,0.498024,-0.449939,-0.499211,0.0138108,0.0728864,0.560989
1472.86,0.828742,0.355207,3,7,0,-1455.94,1.74829,1.78735,1.67234,2.3988,-0.160457,0.157286,0.0742419,0.237129,0.0659221,-0.0644368,-0.650801,0.571587,0.0319801,0.385737,-0.59132,0.224973,-0.44896,-0.363218,0.414633,0.109129,-1.1749,0.343949,1.65141,1.03015,-0.142213,0.0257112,0.0845054,0.0476465,-1.1133,0.418522,0.413396,-1.16547,-0.255023,0.0132852,0.0301158,0.5713
1484.66,1,0.355207,3,7,0,-1463.52,1.79376,1.7264,1.90726,2.48809,-0.346288,0.160052,-0.123641,-0.123079,0.0995252,0.164399,-0.459979,0.576641,0.38058,0.115638,-0.879729,-0.0421788,-0.395078,-0.695147,0.671884,-0.337289,-0.815755,-0.34946,1.59459,0.990763,-0.453626,0.110132,0.235791,-0.0175211,-1.10103,0.502929,0.344843,-0.351714,-0.164727,-0.172085,-0.285337,0.561209
1474.98,0.540025,0.355207,3,7,0,-1460.67,1.93873,1.69945,1.88512,2.46914,-0.566294,0.0911976,-0.0289021,-0.0998658,0.195214,0.201239,-0.179219,0.409293,0.334839,0.285283,-0.532163,-0.0665362,-0.377566,-0.205321,0.464839,-0.146367,-0.762943,-0.53603,1.56121,0.929787,-0.774078,0.195045,0.511366,-0.24814,-1.17227,0.319494,0.565899,-0.607436,0.00274515,-0.253278,-0.0401826,0.471744
1478.64,0.988973,0.355207,4,15,0,-1458.73,1.89423,1.65687,1.8324,2.39295,-0.206047,0.153432,0.237983,-0.0905221,0.341046,0.0685827,-1.02079,0.733929,0.0882893,0.161698,-0.648805,0.27023,-0.267697,-0.186812,0.263235,-0.131305,-0.245816,-0.28548,1.58949,1.09722,-0.0984306,0.414176,-0.217123,0.0647529,-0.837532,0.564963,0.276034,-0.491127,-0.317914,0.0468026,-0.489318,0.593804
1481.18,0.881946,0.355207,4,15,0,-1458.3,1.84326,1.78892,1.81089,2.52471,-0.270005,0.0127276,-0.195026,-0.0512932,0.0380801,0.0421374,-0.0212371,0.299128,0.172329,0.319579,-0.545781,-0.244711,-0.349501,-0.362984,0.511015,-0.223179,-0.839773,-0.280233,1.53288,0.811535,-0.367114,0.0334776,0.326946,-0.217763,-0.85314,0.368625,0.322879,-0.690658,-0.10161,-0.292068,0.0899918,0.411545
1479.12,0.964097,0.355207,4,15,0,-1466.7,1.81037,1.78002,1.84181,2.51161,-0.303727,0.0369163,-0.119941,0.0251503,-0.0629433,0.0174811,-0.0531319,0.26884,0.149964,0.427818,-0.55053,-0.109303,-0.33987,-0.375507,0.524715,-0.103341,-0.895159,-0.281889,1.55343,0.873418,-0.33902,-0.0114102,0.358202,-0.348434,-0.913383,0.437455,0.306695,-0.54424,-0.0389286,-0.332023,0.0826063,0.416976
