lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,alpha.7,alpha.8,alpha.9,alpha.10,alpha.11,alpha.12,alpha.13,alpha.14,alpha.15,alpha.16,alpha.17,alpha.18,alpha.19,alpha.20,alpha.21,alpha.22,alpha.23,alpha.24,alpha.25,alpha.26,alpha.27,alpha.28,alpha.29,alpha.30,alpha.31,kappa
# Adaptation terminated
# Step size = 0.353006
# Diagonal elements of inverse mass matrix:
# 0.0161009, 0.0169884, 0.0166236, 0.013645, 0.0475857, 0.0327808, 0.0372598, 0.0485971, 0.0348495, 0.037434, 0.0525685, 0.0275391, 0.0410617, 0.0367249, 0.0704779, 0.0426119, 0.0500641, 0.0522695, 0.0311296, 0.0443528, 0.0653784, 0.0472225, 0.0198281, 0.0243012, 0.0475171, 0.0375727, 0.0394293, 0.0491096, 0.0758509, 0.0304844, 0.0312909, 0.0578402, 0.0558357, 0.0449262, 0.0466869, 0.0240602
1481.8,0.795556,0.353006,4,15,0,-1468.03,1.74367,1.71701,1.78109,2.36648,-0.236671,0.0608496,-0.0395513,-0.411747,0.0131738,0.32789,0.0462945,0.409732,0.29513,0.448033,-0.443089,0.107121,-0.362986,-0.370888,0.43567,-0.158501,-0.677666,-0.481783,1.66589,1.15504,-0.0645859,0.421364,0.0590534,-0.0515359,-0.91455,0.468295,0.357143,-1.00536,-0.225198,-0.141692,-0.221727,0.641252
1477.03,0.820985,0.353006,4,15,0,-1461.57,1.77142,1.78934,1.83007,2.41676,-0.0663895,0.171051,-0.039982,0.0541319,0.423698,-0.0943858,-1.03429,0.740516,0.364461,-0.123748,-0.470205,-0.289543,-0.210981,-0.00876073,0.444157,-0.00307784,-0.547169,-0.148284,1.66464,1.03952,-0.363617,0.373308,-0.24062,-0.0709693,-0.804329,0.609981,0.45263,-0.452571,-0.0728345,-0.0428997,0.0114385,0.520553
1477.99,0.780172,0.353006,4,15,0,-1453.77,1.79864,1.74383,1.81025,2.42061,-0.322562,-0.0850346,-0.25938,-0.116708,0.242404,0.333144,-0.0412591,0.778621,-0.00772563,0.0782009,-0.748224,0.108738,-0.698864,-0.500769,0.456242,-0.115992,-0.282634,-0.400043,1.58289,0.988048,0.0333253,0.0069409,0.477702,-0.20139,-1.19596,0.389569,0.212964,-0.783825,-0.139975,-0.388824,-0.115276,0.562121
1479.61,0.921757,0.353006,4,15,0,-1460.69,1.70459,1.6787,1.74968,2.40047,0.0218641,0.423955,0.209144,-0.0479522,0.290113,-0.108818,-0.768798,0.707169,0.305601,0.2047,-0.702828,0.046739,-0.090534,-0.00126348,0.661942,0.0169303,-0.421063,-0.368141,1.68986,1.10591,-0.552722,0.578147,-0.107742,0.175589,-0.604879,0.567211,0.127702,-0.538076,-0.104228,-0.0371284,-0.349997,0.513711
1478.5,0.857504,0.353006,4,15,0,-1465.52,1.58037,1.53265,1.65718,2.42025,-0.294938,0.155767,0.171776,0.165429,0.372172,0.452968,-0.526541,0.588158,0.271693,0.497443,-0.431696,0.143522,-0.368634,-0.262365,0.433778,-0.0134749,-0.502999,0.0152579,1.7176,1.08928,0.25779,0.102299,0.498243,-0.182564,-1.09553,0.62244,0.719813,-0.680421,-0.112022,-0.093559,0.219823,0.563147
1480.6,0.709448,0.353006,4,31,0,-1457.82,1.89406,1.89466,1.8345,2.50488,-0.53431,0.0361622,0.0076845,0.129473,0.116345,0.144887,-0.125696,0.444672,0.0923994,0.321101,-0.721179,-0.106339,-0.340033,-0.6388,0.250785,-0.0262586,-0.502281,-0.2887,1.62139,0.941546,-0.139528,0.0238841,0.162257,0.150864,-0.953431,0.5536,0.552971,-0.54793,-0.191327,-0.427201,0.00622904,0.468312
1483.49,0.996346,0.353006,4,15,0,-1468.49,1.86813,1.77974,1.84609,2.41722,-0.0312525,0.0411153,0.0544121,-0.266959,0.246232,0.121445,-0.854934,0.589351,0.242079,0.170934,-0.615165,0.148071,-0.32436,0.000628442,0.625522,-0.344828,-0.53031,-0.298015,1.62419,1.02681,-0.373535,0.447308,0.0513249,-0.321654,-0.954304,0.352997,0.0893035,-0.745948,-0.197561,0.159986,-0.374058,0.507618
1480.59,0.826754,0.353006,4,31,0,-1463.92,1.95608,1.79531,1.86249,2.53876,-0.10472,-0.149427,0.115943,0.00230689,0.145931,-0.102076,-1.08529,0.548841,0.20382,-0.0881997,-0.698108,0.216136,-0.387104,-0.295395,0.522479,-0.303393,-0.533312,-0.300171,1.58146,0.946662,-0.2869,0.281082,0.268708,-0.347329,-0.94086,0.473948,0.187451,-1.0484,-0.0829731,0.0296543,-0.184722,0.506035
1480.22,0.98511,0.353006,3,15,0,-1466.14,1.68374,1.70897,1.79301,2.42333,-0.558923,0.00542883,0.282306,-0.134185,-0.0719736,0.183026,-0.911398,0.554745,0.237698,0.0830389,-0.807462,0.0872016,-0.286838,-0.330995,0.352393,-0.192978,-0.466973,-0.336443,1.62756,1.00523,-0.245927,0.0476189,0.0182116,0.242093,-0.404615,0.602374,0.372153,-0.89071,-0.0794646,-0.228175,-0.453614,0.513038
1476.54,0.813047,0.353006,4,15,0,-1462.6,1.76813,1.72558,1.79971,2.45546,-0.0135669,0.267817,0.0123857,0.00730548,0.536098,0.159745,-0.330952,0.557487,0.0762809,0.213791,-0.285207,0.00744857,-0.341793,-0.0378322,0.130885,-0.0743772,-0.555112,-0.263743,1.73948,0.965098,-0.343392,0.125221,0.0902389,-0.35505,-1.46327,0.504351,0.286385,-0.39396,-0.435019,0.00310016,0.305151,0.650337
