# stan_version_major = 2
# stan_version_minor = 33
# stan_version_patch = 0
# model = model_4ba3117b2609_model
# start_datetime = 2025-01-25 20:50:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 10000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /tmp/Rtmpi9m7ws/standata-910146e27e83.json
# init = 2 (Default)
# random
#   seed = 1773305174
# output
#   file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/Poisson_simple-1.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = /home/lbelzile/Documents/Personnel/MEGAsync/Website/MATH80601A/models/poisson_simple-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,beta.4
# Adaptation terminated
# Step size = 0.835871
# Diagonal elements of inverse mass matrix:
# 0.00473754, 0.00482306, 0.0045384, 0.0023782
1274.78,0.956221,0.835871,2,3,0,-1273.39,1.87186,1.94515,1.88257,2.62515
1274.72,0.997423,0.835871,3,7,0,-1273.9,2.01767,1.90107,2.03485,2.56331
1274.72,0.675728,0.835871,2,3,0,-1270.67,2.01767,1.90107,2.03485,2.56331
1275.67,0.999797,0.835871,2,7,0,-1274.34,1.93694,1.97851,1.96752,2.6034
1275.43,0.961735,0.835871,3,7,0,-1274.87,1.91378,1.91656,1.94568,2.54499
1276.21,1,0.835871,2,3,0,-1275.48,1.93724,1.8823,1.97403,2.59659
1275.6,0.934201,0.835871,2,3,0,-1275.49,1.92844,1.83844,2.00777,2.6115
1272.4,0.672521,0.835871,2,3,0,-1271.53,1.96923,1.75988,2.06741,2.55338
1274.5,0.999098,0.835871,2,3,0,-1271.28,1.90317,1.77594,1.97061,2.60286
1273.11,0.854011,0.835871,3,7,0,-1271.61,2.07303,1.83185,1.91258,2.64688
1271.7,0.670949,0.835871,2,7,0,-1267,1.94403,1.80368,2.05846,2.71229
1273.31,0.992314,0.835871,3,7,0,-1270.28,1.96857,2.02252,1.90872,2.53323
1273.16,0.502964,0.835871,3,7,0,-1265.38,2.00176,1.74792,1.9385,2.63837
1274.45,0.957475,0.835871,2,3,0,-1271.52,1.89873,1.7832,2.00225,2.59289
1275.93,0.951085,0.835871,2,3,0,-1273.64,1.98143,1.93028,1.93741,2.61327
1275.64,0.968209,0.835871,2,3,0,-1275.41,1.89857,1.92501,2.02356,2.60171
1272.71,0.530426,0.835871,2,3,0,-1270.5,1.95164,1.77402,2.0881,2.58065
1270.31,0.753726,0.835871,2,3,0,-1267.55,1.94399,2.01227,1.76565,2.54945
1275.37,0.996838,0.835871,2,7,0,-1270.5,1.91467,1.92965,1.99801,2.6581
1275.93,0.807985,0.835871,1,3,0,-1273.42,1.94796,1.89027,1.93313,2.57133
1275.85,0.994119,0.835871,3,7,0,-1275.74,1.93046,1.90125,1.94712,2.56104
1271.8,0.636919,0.835871,2,3,0,-1271.4,1.95163,1.72002,1.86078,2.61579
1272.72,1,0.835871,2,7,0,-1270.54,1.9336,2.06911,1.99716,2.5593
1274.24,1,0.835871,1,1,0,-1272.85,1.95715,2.02514,1.98,2.56132
1275.91,1,0.835871,2,3,0,-1274.23,1.88494,1.89079,1.97661,2.60113
1271.31,0.566352,0.835871,2,3,0,-1270.95,1.99172,2.01355,2.07847,2.50778
1275.11,0.992439,0.835871,2,7,0,-1271.41,1.89339,1.88994,1.87793,2.62628
1276.03,0.992384,0.835871,3,7,0,-1275,1.94437,1.9396,1.94319,2.62139
1275.77,0.984974,0.835871,2,3,0,-1275.75,1.96086,1.95403,1.93222,2.62401
1275.93,0.988642,0.835871,3,7,0,-1275.39,1.89674,1.87235,1.97989,2.59651
1275.47,0.938409,0.835871,2,3,0,-1275.12,1.92153,1.91759,2.02988,2.63829
1274.92,0.968698,0.835871,2,3,0,-1274.57,1.95271,1.97224,2.03649,2.63769
1276.23,0.900087,0.835871,1,3,0,-1273.94,1.92645,1.89598,1.95053,2.60175
1274.33,0.657973,0.835871,1,3,0,-1273.01,1.99638,1.94511,1.9227,2.52586
1274.52,0.943226,0.835871,2,3,0,-1272.62,2.035,1.81839,1.94735,2.59481
1272.51,0.834429,0.835871,2,7,0,-1270.95,1.96555,1.93842,2.11014,2.53057
1275.08,1,0.835871,3,7,0,-1272.42,1.98875,1.89969,1.9142,2.66008
1274.4,0.939515,0.835871,3,7,0,-1273.44,2.05233,1.8931,2.01094,2.63737
1274.55,0.976445,0.835871,3,7,0,-1272.81,1.86712,1.96034,1.88966,2.57231
1274.55,0.546164,0.835871,2,3,0,-1268.78,1.86712,1.96034,1.88966,2.57231
1273.65,0.809087,0.835871,2,3,0,-1271.59,1.8967,2.04678,1.92526,2.61072
1274.24,0.966008,0.835871,2,7,0,-1271.8,1.92096,1.93137,1.96936,2.50686
1270.69,0.706271,0.835871,2,3,0,-1269.09,2.07379,1.80463,2.10484,2.64292
1273.08,1,0.835871,2,3,0,-1269.55,2.03746,1.89937,2.04227,2.68647
1274.16,0.817152,0.835871,2,3,0,-1269.21,1.91119,1.82793,1.87119,2.55373
1274.67,0.785551,0.835871,2,7,0,-1269.91,1.9088,2.02095,1.96511,2.59993
1273.74,0.914831,0.835871,2,3,0,-1272.95,2.00426,1.76779,1.97674,2.63828
1275.02,1,0.835871,2,7,0,-1272.87,1.93079,1.89387,1.85796,2.61627
1275.77,0.812398,0.835871,2,3,0,-1272.79,1.901,1.93886,1.99879,2.58552
1275.38,0.883828,0.835871,2,3,0,-1274.32,2.00749,1.85694,1.9763,2.63261
1273.88,0.843584,0.835871,2,3,0,-1273.02,1.879,1.93806,1.95368,2.69647
1275.54,0.875614,0.835871,2,3,0,-1271.51,2.00296,1.87439,1.92458,2.62027
1272.38,0.684794,0.835871,2,3,0,-1271.45,2.01049,1.92912,1.78617,2.60564
1274.3,0.998116,0.835871,2,3,0,-1271.73,1.91033,1.91471,2.0904,2.5941
1274.74,1,0.835871,3,7,0,-1273.2,1.86936,1.91014,2.01294,2.66173
1275.86,0.75731,0.835871,2,3,0,-1271.61,1.98318,1.90355,1.99171,2.5776
1276.12,0.817683,0.835871,2,3,0,-1273.95,1.94092,1.87088,1.97013,2.59005
1274.84,0.876286,0.835871,2,3,0,-1274.7,1.9274,1.87515,2.02728,2.66803
1272.02,0.791156,0.835871,2,3,0,-1271.13,2.04549,2.04214,1.88167,2.57153
1275.18,0.893593,0.835871,2,3,0,-1270.63,1.97926,1.99568,1.959,2.5923
1275.74,0.987776,0.835871,3,7,0,-1274.89,1.90164,1.8442,1.95604,2.59854
1275.83,0.94834,0.835871,3,7,0,-1274.91,2.00126,1.90614,1.97813,2.61568
1275.78,0.997838,0.835871,2,7,0,-1275.75,1.87477,1.90357,1.95234,2.59533
1275.24,0.828697,0.835871,2,7,0,-1273.83,1.93899,1.83305,1.94203,2.6511
1272.02,0.72837,0.835871,2,3,0,-1271.38,2.03634,1.76781,1.93412,2.68204
1270.97,0.956531,0.835871,2,7,0,-1270.38,1.80311,2.01207,2.00776,2.50817
1272.86,1,0.835871,2,3,0,-1270.3,1.9994,1.81582,1.92546,2.70243
1273.26,0.943976,0.835871,2,3,0,-1270.29,1.95196,1.73093,1.95791,2.58467
1275.82,0.776433,0.835871,1,3,0,-1269.9,1.97096,1.93281,1.93854,2.63422
1274.74,0.615074,0.835871,3,7,0,-1271.42,1.92499,1.7891,2.00016,2.58711
